123.tv|123TV|123tv,123TV|
Sky Cinema Special HD|SKYCS|sky-cinema-special-hd,SKYCS|
Sky Cinema Thriller HD|SKYTH|sky-cinema-thriller-hd,SKYTH|
Sky Family|SKY-F|sky-family,SKY-F|
Sky Krimi|SKY-K|sky-krimi,SKY-K|
Sky Sport Austria|SPO-A|sky-sport-austria,SPO-A|
Sky Sport HD 1|HDSPO|sky-sport-hd-1,HDSPO|
Sky Sport HD 2|SHD2|sky-sport-hd-2,SHD2|
Sky Sport News HD|SNHD|sky-sport-news-hd,SNHD|
Sky select|SKY-S|sky-select,SKY-S|
Sony Channel|SONY|sony-channel,SONY|
Syfy|SCIFI|syfy,SCIFI|
TELE 5|TELE5|tele-5,TELE5|
TLC|TLC|tlc,TLC|
TNT Comedy|TNT-C|tnt-comedy,TNT-C|
TNT Film|TNT-F|tnt-film,TNT-F|
TNT Serie|TNT-S|tnt-serie,TNT-S|
TOGGO plus|TOGGO|toggo-plus,TOGGO|
TV2|TV2|tv2,TV2|
TV5 Monde|TV5|tv5-monde,TV5|
Trace TV|TRACE|trace-tv,TRACE|
Turkmax Gurme|TMAX|turkmax-gurme,TMAX|
UHD1|UHD1|uhd1,UHD1|
Universal Channel HD|UNIVE|universal-channel-hd,UNIVE|
VH1 Classic|VH1|vh1-classic,VH1|
VOX|VOX|vox,VOX|
VOXup|VOXUP|voxup,VOXUP|
WDR|WDR|wdr,WDR|
WELT|WELT|welt,WELT|
Welt der Wunder TV|WDWTV|welt-der-wunder-tv,WDWTV|
ZDF|ZDF|zdf,ZDF|
ZDFinfo|ZINFO|zdfinfo,ZINFO|
ZDFneo|2NEO|zdfneo,2NEO|
Zee.One|ZEE-1|zeeone,ZEE-1|
eSports1|ES1|esports1,ES1|
eoTV|EOTV|eotv,EOTV|
euronews|EURON|euronews,EURON|
kabel eins|K1|kabel-eins,K1|
kabel eins CLASSICS|K1CLA|kabel-eins-classics,K1CLA|
kabel eins Doku|K1DOKU|kabel-eins-doku,K1DOKU|
münchen.tv|TVM|muenchentv,TVM|
n-tv|NTV|n-tv,NTV|
nick/MTV+|NICK|nickmtv,NICK|
oe24.TV|OE24TV|oe24tv,OE24TV|
rheinmain tv|RMTV|rheinmain-tv,RMTV|
sixx|SIXX|sixx,SIXX|
sonnenklar TV|SKLAR|sonnenklar-tv,SKLAR|
sportdigital Fussball|SPO-D|sportdigital-fussball,SPO-D|
tagesschau 24|TAG24|tagesschau-24,TAG24|
travelxp 4K|TRAVELXP|travelxp-4k,TRAVELXP|
tv.berlin|TVB|tvberlin,TVB|
